,Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
87582,Australia,,-33.8688,144.9631,,,,2020-01-23
95626,Australia,,-33.8688,144.9631,4.0,,,2020-01-25
99651,Australia,,-33.8688,144.9631,4.0,,,2020-01-26
103683,Australia,New South Wales,-33.8688,151.2093,4.0,,,2020-01-27
103684,Australia,Victoria,-37.8136,144.9631,1.0,,,2020-01-27
107713,Australia,New South Wales,-33.8688,151.2093,4.0,,,2020-01-28
107714,Australia,Victoria,-37.8136,144.9631,1.0,,,2020-01-28
111744,Australia,New South Wales,-33.8688,151.2093,4.0,,,2020-01-29
111745,Australia,Victoria,-37.8136,144.9631,1.0,,,2020-01-29
115778,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,,2020-01-30
115779,Australia,Victoria,-37.8136,144.9631,2.0,,,2020-01-30
115780,Australia,Queensland,-27.4698,153.0251,3.0,,,2020-01-30
119806,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,,2020-01-31
119808,Australia,Victoria,-37.8136,144.9631,3.0,,,2020-01-31
119813,Australia,Queensland,-27.4698,153.0251,2.0,,,2020-01-31
123847,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,0.0,2020-02-01
123848,Australia,Victoria,-37.8136,144.9631,4.0,0.0,0.0,2020-02-01
123850,Australia,Queensland,-27.4698,153.0251,3.0,0.0,0.0,2020-02-01
123856,Australia,South Australia,-34.9285,138.6007,1.0,0.0,0.0,2020-02-01
127894,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,0.0,2020-02-02
127895,Australia,Victoria,-37.8136,144.9631,4.0,0.0,0.0,2020-02-02
127897,Australia,Queensland,-27.4698,153.0251,2.0,0.0,0.0,2020-02-02
127898,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-02
131940,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,0.0,2020-02-03
131941,Australia,Victoria,-37.8136,144.9631,4.0,0.0,0.0,2020-02-03
131944,Australia,Queensland,-27.4698,153.0251,2.0,0.0,0.0,2020-02-03
131945,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-03
135987,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,0.0,2020-02-04
135988,Australia,Victoria,-37.8136,144.9631,4.0,0.0,0.0,2020-02-04
135989,Australia,Queensland,-27.4698,153.0251,3.0,0.0,0.0,2020-02-04
135991,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-04
140036,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,0.0,2020-02-05
140037,Australia,Victoria,-37.8136,144.9631,4.0,0.0,0.0,2020-02-05
140038,Australia,Queensland,-27.4698,153.0251,3.0,0.0,0.0,2020-02-05
140040,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-05
144086,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,0.0,2020-02-06
144087,Australia,Queensland,-27.4698,153.0251,4.0,0.0,0.0,2020-02-06
144088,Australia,Victoria,-37.8136,144.9631,4.0,0.0,0.0,2020-02-06
144090,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-06
148136,Australia,Queensland,-27.4698,153.0251,5.0,0.0,0.0,2020-02-07
148138,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,0.0,2020-02-07
148139,Australia,Victoria,-37.8136,144.9631,4.0,0.0,0.0,2020-02-07
148145,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-07
152188,Australia,Queensland,-27.4698,153.0251,5.0,0.0,0.0,2020-02-08
152189,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,0.0,2020-02-08
152190,Australia,Victoria,-37.8136,144.9631,4.0,0.0,0.0,2020-02-08
152196,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-08
156239,Australia,Queensland,-27.4698,153.0251,5.0,0.0,0.0,2020-02-09
156240,Australia,New South Wales,-33.8688,151.2093,4.0,2.0,0.0,2020-02-09
156241,Australia,Victoria,-37.8136,144.9631,4.0,0.0,0.0,2020-02-09
156247,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-09
